
books70/bpe   (books.json)
   V_target V_actual  mean_len  bits/dig  zipf_s  heaps_b
         16       16     1.196       nan   0.558    0.000
         20       20     1.299       nan   0.573   -0.000
         24       24     1.402       nan   0.654   -0.000
         26       26     1.451       nan   0.687    0.000
         28       28     1.499       nan   0.660    0.000
         30       30     1.541       nan   0.673    0.000
         32       32     1.583       nan   0.736    0.005
         36       36     1.668       nan   0.721    0.007
         40       40     1.748       nan   0.692    0.008
         50       50     1.929       nan   0.656    0.017
        100      100     2.579       nan   0.711    0.066
        200      200     3.821       nan   0.794    0.214
        300      300     5.167       nan   0.854    0.375
        500      377     5.629       nan   0.904    0.454
        750      377     5.629       nan   0.904    0.454
       1000      377     5.629       nan   0.904    0.454

books70/mdl   (books.json)
   V_target V_actual  mean_len  bits/dig  zipf_s  heaps_b
         16       16     1.181     3.004   1.253    0.000
         20       20     1.268     2.895   1.430   -0.000
         24       24     1.326     2.823   1.552    0.017
         26       26     1.358     2.784   1.588    0.015
         28       28     1.393     2.745   1.594    0.014
         30       30     1.424     2.714   1.596    0.016
         32       32     1.443     2.695   1.599    0.015
         36       36     1.490     2.657   1.566    0.019
         40       40     1.532     2.622   1.554    0.024
         50       50     1.658     2.525   1.449    0.035
        100      100     2.675     1.985   0.971    0.099
        200      199     4.173     1.640   0.862    0.296
        300      293     4.817     1.560   0.920    0.423
        500      381     5.083     1.544   0.972    0.511
        750      602     5.595     1.531   0.850    0.629
       1000      602     5.595     1.531   0.850    0.629

dedup_core22/bpe   (books.json|dedup_core(k=25))
   V_target V_actual  mean_len  bits/dig  zipf_s  heaps_b
         16       16     1.202       nan   0.635    0.000
         20       20     1.305       nan   0.622    0.000
         24       24     1.410       nan   0.662    0.011
         26       26     1.461       nan   0.656    0.014
         28       28     1.509       nan   0.633    0.018
         30       30     1.554       nan   0.586    0.020
         32       32     1.596       nan   0.690    0.025
         36       36     1.680       nan   0.706    0.039
         40       40     1.753       nan   0.674    0.063
         50       50     1.926       nan   0.669    0.091
        100      100     2.568       nan   0.685    0.243
        200      200     3.649       nan   0.731    0.435
        300      300     4.700       nan   0.649    0.611
        500      303     4.734       nan   0.637    0.614
        750      303     4.734       nan   0.637    0.614
       1000      303     4.734       nan   0.637    0.614

dedup_core22/mdl   (books.json|dedup_core(k=25))
   V_target V_actual  mean_len  bits/dig  zipf_s  heaps_b
         16       16     1.185     2.980   1.319    0.052
         20       20     1.261     2.908   1.480    0.083
         24       24     1.335     2.817   1.558    0.131
         26       26     1.379     2.776   1.530    0.142
         28       28     1.407     2.748   1.540    0.164
         30       30     1.436     2.723   1.533    0.184
         32       32     1.457     2.704   1.566    0.198
         36       36     1.523     2.640   1.514    0.197
         40       39     1.575     2.590   1.494    0.210
         50       50     1.742     2.461   1.405    0.212
        100      100     2.515     2.077   1.065    0.288
        200      189     3.666     1.775   0.870    0.450
        300      269     4.222     1.705   0.793    0.619
        500      424     5.359     1.572   0.529    0.833
        750      424     5.359     1.572   0.529    0.833
       1000      424     5.359     1.572   0.529    0.833

contigs/bpe   (try_combine_books/out/books/books_combined_#2_6624[49]_63[1].txt)
   V_target V_actual  mean_len  bits/dig  zipf_s  heaps_b
         16       16     1.197       nan   0.555   -0.000
         20       20     1.302       nan   0.562   -0.000
         24       24     1.407       nan   0.648    0.016
         26       26     1.456       nan   0.683    0.022
         28       28     1.506       nan   0.656    0.024
         30       30     1.546       nan   0.661    0.025
         32       32     1.588       nan   0.736    0.032
         36       36     1.672       nan   0.724    0.033
         40       40     1.756       nan   0.696    0.029
         50       50     1.938       nan   0.665    0.038
        100      100     2.586       nan   0.633    0.123
        200      200     3.753       nan   0.722    0.315
        300      300     5.005       nan   0.704    0.486
        500      344     5.375       nan   0.723    0.549
        750      344     5.375       nan   0.723    0.549
       1000      344     5.375       nan   0.723    0.549

contigs/mdl   (try_combine_books/out/books/books_combined_#2_6624[49]_63[1].txt)
   V_target V_actual  mean_len  bits/dig  zipf_s  heaps_b
         16       16     1.189     3.039   1.094    0.005
         20       20     1.296     2.905   1.260    0.004
         24       24     1.367     2.818   1.465    0.036
         26       26     1.402     2.778   1.466    0.040
         28       28     1.423     2.758   1.503    0.048
         30       30     1.452     2.726   1.511    0.053
         32       32     1.473     2.708   1.528    0.072
         36       36     1.518     2.668   1.546    0.073
         40       40     1.567     2.621   1.543    0.094
         50       49     1.694     2.520   1.455    0.132
        100      100     2.604     2.044   1.019    0.258
        200      200     4.107     1.681   0.795    0.376
        300      288     4.670     1.613   0.824    0.494
        500      484     5.536     1.529   0.686    0.724
        750      516     5.572     1.531   0.680    0.730
       1000      516     5.572     1.531   0.680    0.730
